Date,Close/Last,Volume,Open,High,Low
11/06/2023,$457.51,40073340,$452.845,$459.35,$448.99
11/03/2023,$450.05,42460960,$440.20,$453.0899,$437.23
11/02/2023,$435.06,40917190,$433.28,$438.84,$428.94
11/01/2023,$423.25,43759290,$408.84,$423.81,$408.69
10/31/2023,$407.80,51796870,$404.50,$408.79,$392.3001
10/30/2023,$411.61,38802810,$410.87,$417.66,$404.81
10/27/2023,$405.00,41678440,$411.30,$412.06,$400.15
10/26/2023,$403.26,54100130,$418.53,$422.5555,$398.8019
10/25/2023,$417.79,39837920,$433.98,$436.50,$415.55
10/24/2023,$436.63,40146340,$430.77,$436.97,$426.91
10/23/2023,$429.75,47853050,$412.29,$432.4799,$409.45
10/20/2023,$413.87,47726610,$418.90,$424.70,$410.78
10/19/2023,$421.01,50123310,$428.11,$432.97,$418.82
10/18/2023,$421.96,62729430,$425.91,$432.19,$418.25
10/17/2023,$439.38,81233270,$440.00,$447.54,$424.80
10/16/2023,$460.95,37509920,$450.63,$462.25,$449.12
10/13/2023,$454.61,47542600,$469.60,$471.16,$452.80
10/12/2023,$469.45,48132500,$467.77,$476.09,$463.30
10/11/2023,$468.06,37813690,$461.96,$468.59,$460.50
10/10/2023,$457.98,36858210,$453.10,$462.59,$450.88
10/09/2023,$452.73,40967470,$448.42,$456.05,$443.68
10/06/2023,$457.62,43443600,$441.93,$457.89,$440.26
10/05/2023,$446.88,39348310,$440.50,$449.00,$438.88
10/04/2023,$440.41,36182090,$437.42,$441.43,$432.9201
10/03/2023,$435.17,47084950,$448.08,$451.30,$432.46
10/02/2023,$447.82,43329820,$440.30,$451.75,$438.61
09/29/2023,$434.99,39782990,$438.27,$441.44,$433.0694
09/28/2023,$430.89,42466280,$424.60,$434.4631,$421.15
09/27/2023,$424.68,44493520,$423.30,$428.72,$416.2901
09/26/2023,$419.11,40228210,$420.01,$428.20,$416.55
09/25/2023,$422.22,41909100,$415.91,$425.36,$411.77
09/22/2023,$416.10,47923630,$415.72,$421.15,$412.31
09/21/2023,$410.17,45073600,$415.83,$421.00,$409.80
09/20/2023,$422.39,36710770,$436.00,$439.03,$422.23
09/19/2023,$435.20,37306420,$438.33,$439.66,$430.02
09/18/2023,$439.66,50027080,$427.48,$442.42,$420.00
09/15/2023,$439.00,50683050,$453.41,$455.99,$438.08
09/14/2023,$455.81,37009720,$459.50,$459.8699,$451.31
09/13/2023,$454.85,39835540,$446.00,$459.30,$445.03
09/12/2023,$448.70,34925630,$447.38,$456.73,$445.31
09/11/2023,$451.78,47396560,$461.48,$461.63,$443.12
09/08/2023,$455.72,47389990,$459.42,$466.06,$452.71
09/07/2023,$462.41,43332990,$455.25,$463.44,$451.52
09/06/2023,$470.61,46866960,$484.41,$485.49,$465.80
09/05/2023,$485.48,38265260,$482.23,$488.5081,$478.60
